unit,=,ns,,,,,
SBox_Type,Stage_Num,Switch_Num,Output_Num,Input_Num,Num_Loads,Rise_Delay,Fall_Delay
SB_LC,0,0,0,0,1,0.0940776,0.0982454
SB_LC,0,0,0,0,2,0.1118106,0.1158849
SB_LC,0,0,0,0,3,0.1315258,0.1365998
SB_LC,0,0,0,1,1,0.0938279,0.0971769
SB_LC,0,0,0,1,2,0.1114889,0.1153204
SB_LC,0,0,0,1,3,0.1309364,0.1343745
SB_LC,0,0,0,2,1,0.1187573,0.1339282
SB_LC,0,0,0,2,2,0.1358721,0.1504394
SB_LC,0,0,0,2,3,0.156214,0.1714467
SB_LC,0,0,0,3,1,0.1225577,0.1380482
SB_LC,0,0,0,3,2,0.1380788,0.1535086
SB_LC,0,0,0,3,3,0.1587622,0.1740253
SB_LC,0,0,0,4,1,0.1244157,0.1386801
SB_LC,0,0,0,4,2,0.1387644,0.154729
SB_LC,0,0,0,4,3,0.1594843,0.174786
SB_LC,0,0,0,5,1,0.1261168,0.1422304
SB_LC,0,0,0,5,2,0.1399258,0.1566262
SB_LC,0,0,0,5,3,0.1596513,0.1769078
SB_LC,0,0,1,0,1,0.1049112,0.1093812
SB_LC,0,0,1,0,2,0.1234455,0.126661
SB_LC,0,0,1,0,3,0.1444236,0.1485045
SB_LC,0,0,1,1,1,0.1071305,0.1093433
SB_LC,0,0,1,1,2,0.1241385,0.1275349
SB_LC,0,0,1,1,3,0.1449529,0.1479657
SB_LC,0,0,1,2,1,0.1258567,0.1380686
SB_LC,0,0,1,2,2,0.1455372,0.1580402
SB_LC,0,0,1,2,3,0.1671593,0.1803322
SB_LC,0,0,1,3,1,0.1255801,0.1377447
SB_LC,0,0,1,3,2,0.1461412,0.1587306
SB_LC,0,0,1,3,3,0.1679109,0.1804172
SB_LC,0,0,1,4,1,0.1347301,0.1488458
SB_LC,0,0,1,4,2,0.1501707,0.1648952
SB_LC,0,0,1,4,3,0.1719248,0.1862047
SB_LC,0,0,1,5,1,0.1361127,0.1520588
SB_LC,0,0,1,5,2,0.1512273,0.1668578
SB_LC,0,0,1,5,3,0.1720542,0.1883452
SB_LC,0,0,2,0,1,0.1266316,0.1246396
SB_LC,0,0,2,0,2,0.1478349,0.1463273
SB_LC,0,0,2,0,3,0.1719422,0.1696603
SB_LC,0,0,2,1,1,0.1288677,0.1261342
SB_LC,0,0,2,1,2,0.1498181,0.1462682
SB_LC,0,0,2,1,3,0.1724396,0.1689981
SB_LC,0,0,2,2,1,0.1523785,0.1606773
SB_LC,0,0,2,2,2,0.1719531,0.1804426
SB_LC,0,0,2,2,3,0.1966027,0.2043124
SB_LC,0,0,2,3,1,0.1553025,0.1630603
SB_LC,0,0,2,3,2,0.1732253,0.1808701
SB_LC,0,0,2,3,3,0.1984457,0.2061395
SB_LC,0,0,2,4,1,0.1487953,0.1547351
