unit,=,ns,,,,,
SBox_Type,Stage_Num,Switch_Num,Output_Num,Input_Num,Num_Loads,Rise_Delay,Fall_Delay
SB_LC,0,0,0,0,1,0.426418,0.5245972
SB_LC,0,0,0,0,2,0.5380822,0.6535303
SB_LC,0,0,0,0,3,0.6487378,0.7770632
SB_LC,0,0,0,1,1,0.4230433,0.5067412
SB_LC,0,0,0,1,2,0.5337615,0.6312369
SB_LC,0,0,0,1,3,0.6447401,0.7528425
SB_LC,0,0,0,2,1,0.7083259,0.8379211
SB_LC,0,0,0,2,2,0.8240801,0.9686473
SB_LC,0,0,0,2,3,0.9208024,1.0765
SB_LC,0,0,0,3,1,0.7229436,0.859577
SB_LC,0,0,0,3,2,0.8381353,0.9883414
SB_LC,0,0,0,3,3,0.9277063,1.0852
SB_LC,0,0,0,4,1,0.7293924,0.8612206
SB_LC,0,0,0,4,2,0.8422914,0.9906513
SB_LC,0,0,0,4,3,0.9302312,1.0889
SB_LC,0,0,0,5,1,0.7406864,0.8923407
SB_LC,0,0,0,5,2,0.8536713,1.02
SB_LC,0,0,0,5,3,0.936004,1.1126
SB_LC,0,0,1,0,1,0.4654495,0.5649589
SB_LC,0,0,1,0,2,0.5822266,0.6986624
SB_LC,0,0,1,0,3,0.6960123,0.8240939
SB_LC,0,0,1,1,1,0.4732867,0.555253
SB_LC,0,0,1,1,2,0.58983,0.6852784
SB_LC,0,0,1,1,3,0.6944813,0.8045963
SB_LC,0,0,1,2,1,0.7277941,0.8522612
SB_LC,0,0,1,2,2,0.8481462,0.9819471
SB_LC,0,0,1,2,3,0.9612489,1.1107
SB_LC,0,0,1,3,1,0.7263879,0.8457968
SB_LC,0,0,1,3,2,0.8448006,0.9772438
SB_LC,0,0,1,3,3,0.9604549,1.1079
SB_LC,0,0,1,4,1,0.7684362,0.8957269
SB_LC,0,0,1,4,2,0.8828637,1.0291
SB_LC,0,0,1,4,3,0.9763984,1.1337
SB_LC,0,0,1,5,1,0.77642,0.9265858
SB_LC,0,0,1,5,2,0.8951067,1.0592
SB_LC,0,0,1,5,3,0.9807536,1.1571
SB_LC,0,0,2,0,1,0.5394363,0.6191308
SB_LC,0,0,2,0,2,0.6601995,0.7600379
SB_LC,0,0,2,0,3,0.7855065,0.8977256
SB_LC,0,0,2,1,1,0.5487896,0.6169268
SB_LC,0,0,2,1,2,0.6678216,0.7477924
SB_LC,0,0,2,1,3,0.7831178,0.8762437
SB_LC,0,0,2,2,1,0.8216411,0.9359343
SB_LC,0,0,2,2,2,0.9472735,1.073
SB_LC,0,0,2,2,3,1.0577,1.1936
SB_LC,0,0,2,3,1,0.8338324,0.9446825
SB_LC,0,0,2,3,2,0.9607208,1.091
SB_LC,0,0,2,3,3,1.0595,1.2027
SB_LC,0,0,2,4,1,0.8028888,0.9019116
SB_LC,0,0,2,4,2,0.9275346,1.042
SB_LC,0,0,2,4,3,1.0529,1.1806
SB_LC,0,0,2,5,1,0.8018602,0.9153336
SB_LC,0,0,2,5,2,0.9274691,1.0571
SB_LC,0,0,2,5,3,1.0525,1.197
SB_LC,0,1,0,0,1,0.4293597,0.5289401
SB_LC,0,1,0,0,2,0.5414873,0.655145
SB_LC,0,1,0,0,3,0.6519183,0.7805377
SB_LC,0,1,0,1,1,0.4254713,0.5062271
SB_LC,0,1,0,1,2,0.5355834,0.6313053
SB_LC,0,1,0,1,3,0.6474865,0.7567631
SB_LC,0,1,0,2,1,0.7154586,0.8402998
SB_LC,0,1,0,2,2,0.826839,0.9665251
SB_LC,0,1,0,2,3,0.9212746,1.0755
SB_LC,0,1,0,3,1,0.732116,0.8621859
SB_LC,0,1,0,3,2,0.8463056,0.9931392
SB_LC,0,1,0,3,3,0.9349521,1.0903
SB_LC,0,1,0,4,1,0.7333468,0.8637663
SB_LC,0,1,0,4,2,0.8464407,0.9883539
SB_LC,0,1,0,4,3,0.9362501,1.0905
SB_LC,0,1,0,5,1,0.7478158,0.8950571
SB_LC,0,1,0,5,2,0.8612732,1.0213
SB_LC,0,1,0,5,3,0.9428305,1.1146
SB_LC,0,1,1,0,1,0.4469883,0.5425988
SB_LC,0,1,1,0,2,0.5630354,0.68072
SB_LC,0,1,1,0,3,0.6741449,0.8034474
SB_LC,0,1,1,1,1,0.4553008,0.5412578
SB_LC,0,1,1,1,2,0.5679104,0.6675552
SB_LC,0,1,1,1,3,0.6744898,0.7852853
SB_LC,0,1,1,2,1,0.7148949,0.8346232
SB_LC,0,1,1,2,2,0.8287586,0.9601028
SB_LC,0,1,1,2,3,0.9370296,1.0859
SB_LC,0,1,1,3,1,0.7159695,0.8336847
SB_LC,0,1,1,3,2,0.8316923,0.9649578
SB_LC,0,1,1,3,3,0.9452189,1.0904
SB_LC,0,1,1,4,1,0.7512456,0.8781317
SB_LC,0,1,1,4,2,0.8671417,1.0059
SB_LC,0,1,1,4,3,0.9585174,1.1102
SB_LC,0,1,1,5,1,0.76244,0.9111844
SB_LC,0,1,1,5,2,0.8813135,1.0401
SB_LC,0,1,1,5,3,0.9648293,1.1354
